Name,Rank,Owner
1989: Dawn of Freedom,,Consty
7 Wonders,500,"Consty, Brian"
7 Wonders with expansions,,Consty
A Game of Thrones,700,
Age of Empires III,600,Tony
Agricola,700,Brian
Agricola with Farmers of the Moor,,Consty
Amun Re,800,Bill
Andean Abyss,,Consty
Antike,,Ryan
Antike II,900,Bill
Aquasphere,1000,Bill
Asara,,Tony
Asgard,900,Tony
Automobile,1000,Bill
Battlestar Galactica,,Consty
Belfort,,
BIOS:Megafauna,,Consty
Blood Bowl,,Consty
Blood Bowl Team Manager,,Consty
Bora Bora,500,Consty
Brass,800,Tony
Bremerhaven,,Consty
Brew Crafters,800,"Consty,Bill"
Bruxelles 1893,800,Tony
Carcassonne,,
Carcassonne : The Tower,,
Carcassonne : Traders and Builders,,
Carcassonne: Hunters and Gatherers,,Consty
Carson City,,Brian
Castles of Burgundy,,
Caverna,700,"Consty, Bill"
Caylus,900,Tony
Chaos Marauders,,Consty
Chicago Express,900,
Citadels,,"Ryan, Brian"
Clash of Cultures (with expansion),,Consty
Claustrophobia,,
CO2,600,Bill
Compounded,,Consty
Concordia,900,"Consty, Bill"
Concordia: Britannia and Germania expansion,900,Bill
Conflict of Heroes,,Tony
Core Worlds,,Consty
Coup,,Consty
Cuba +El presidente expansion,800,Bill
Cuba Libre,,Consty
De Vulgari Eloquenta,,
Descent: Journeys in the Dark,,Tony
Dominant Species,850,"Consty, Tony"
Dominion,,Ryan
Eclipse with Rise of the Ancients,,"Consty, Brian"
Egizia,750,
El Grande,800,"Ryan, Bill"
Elysium,,Consty
Endeavor,750,
Evolution,,Consty
Fire In The Lake,,Consty
First Train to Nuremburg,600,
Five Tribes,500,"Consty, Bill"
Fluxx (Monty Python or Cthulhu),,Consty
Forbidden Desert,0,Consty
Formula De,,Consty
Genoa,,
Glass Road,900,"Consty, Bill"
Goa,900,Brian
Hansa Teutonica,900,Tony
Hermagor,750,Tony
High Frontier,,Consty
Il Vecchio,,
Imperial,,Ryan
Imperial 2030,1000,Bill
Istanbul,900,Bill
Kanban: Automotive Revolution,900,Tony
Keyflower,800,
Kingdom Builder with Nomads,,
Labyrinth,,Consty
Lagoon: Land of Druids,,
Last Will,,
Le Havre (with expansion),650,Consty
Lewis and Clark,800,Bill
Lords of Waterdeep (with expansion),,Consty
Lost Cities,600,Bill
Luna,850,
Madeira,950,Bill
Manhattan Project,,Consty
Maria,,
Medici,750,Tony
Memior 44,,
Mr. Jack,,
Murano,950,Bill
Nations,1000,Tony
Navegador,750,Tony
Notre Dame,800,
Orleans,950,Bill
Ora et Labora,700,"Consty, Bill"
Panamax,,
Pandemic,,Consty
Pantheon,400,Bill
Paris Connection,,
Power Grid,800,
Power Struggle,,
Praetor,800,Bill
Princes of Machu Picchu,800,
Puerto Rico,,"Tim, Bill"
Quebec,,
Ra,850,Bill
Race for the Galaxy,,Consty
Railways of the World,,
Reef encounters,750,Bill
Resistance: Avalon,,Consty
Robo Rally,0,Bill
Russian Railroads,900,
Samurai,800,Bill
Santiago,,
Settlers of Catan,,
Settlers of the Stone Age,,Consty
Shogun,,Tony
Small World,,Tony
Snowdonia,,Consty
Splendor,,Consty
Spyrium,,Tony
Star Realms,,Consty
Steam,800,Tony
Steam: Barons,,Tony
Stone Age,500,Tony
Stronghold,,
Struggle of Empires,,
Suburbia,600,Brian
Survive: Escape from Atlantis,,Consty
Sylla,,
Takenoko,,Consty
Terra Mystica,1000,Bill
Terra Mystica with expansion,1000,"Brian, Bill"
Through the Desert,,
Thunder Alley,,Consty
Ticket to Ride: Europe,,
Tigris and Euphrates,880,Bill
Tikal,800,
Trajan,,Consty
Troyes,900,Bill
Twilight Struggle,,Consty
Tzolk'in,900,
Tzolk'in with Tribes & Prophecies,,Brian
Unspeakable Words,,Consty
Vanuatu,850,
Vasco Da Gama,900,"Roland, Bill"
Vikings,500,Bill
Village,750,Bill
Vinhos,900,Tony
Viticulture,,
Viticulture with all playable expansions,,
Wasabi,,
World withot end,500,Bill
X-Wing,,
Yinsh,,
Yspahan,,
Zertz,,
Zhanguo,950,Tony
Ships 2016,1000,Bill
Marco Polo,800,Bill
Glen More,900,Bill
